Phenotype,Has phenotype?,Domain,Phylum,Biome,No. of MAGs
Arginine dihydrolase,False,d__Bacteria,p__Spirochaetota,Host,29
Arginine dihydrolase,False,d__Bacteria,p__Spirochaetota,Neither,5
Arginine dihydrolase,True,d__Bacteria,p__Spirochaetota,Host,2
Arginine dihydrolase,True,d__Bacteria,p__Spirochaetota,Neither,3
Arginine dihydrolase,False,d__Bacteria,p__Synergistota,Neither,2
Arginine dihydrolase,True,d__Bacteria,p__Synergistota,Neither,2
Arginine dihydrolase,False,d__Bacteria,p__Verrucomicrobiota,Host,12
Arginine dihydrolase,False,d__Bacteria,p__Verrucomicrobiota,Neither,10
Arginine dihydrolase,True,d__Bacteria,p__Verrucomicrobiota,Host,1
Arginine dihydrolase,True,d__Bacteria,p__Verrucomicrobiota,Neither,4
Arginine dihydrolase,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Arginine dihydrolase,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Bacillus or coccobacillus,False,d__Archaea,p__Euryarchaeota,Host,5
Bacillus or coccobacillus,False,d__Archaea,p__Halobacterota,Host,1
Bacillus or coccobacillus,False,d__Archaea,p__Halobacterota,Neither,2
Bacillus or coccobacillus,True,d__Archaea,p__Halobacterota,Neither,1
Bacillus or coccobacillus,False,d__Archaea,p__Thermoplasmatota,Host,1
Bacillus or coccobacillus,False,d__Archaea,p__Thermoplasmatota,Neither,3
Bacillus or coccobacillus,False,d__Bacteria,p__Actinobacteriota,Host,2
Bacillus or coccobacillus,False,d__Bacteria,p__Actinobacteriota,Neither,7
Bacillus or coccobacillus,True,d__Bacteria,p__Actinobacteriota,Environment,7
Bacillus or coccobacillus,True,d__Bacteria,p__Actinobacteriota,Host,37
Bacillus or coccobacillus,True,d__Bacteria,p__Actinobacteriota,Neither,43
Bacillus or coccobacillus,True,d__Bacteria,p__Armatimonadota,Neither,1
Bacillus or coccobacillus,False,d__Bacteria,p__Bacteroidota,Host,2
Bacillus or coccobacillus,False,d__Bacteria,p__Bacteroidota,Neither,3
Bacillus or coccobacillus,True,d__Bacteria,p__Bacteroidota,Host,215
Bacillus or coccobacillus,True,d__Bacteria,p__Bacteroidota,Neither,125
Bacillus or coccobacillus,False,d__Bacteria,p__Campylobacterota,Host,1
Bacillus or coccobacillus,False,d__Bacteria,p__Campylobacterota,Neither,1
Bacillus or coccobacillus,True,d__Bacteria,p__Campylobacterota,Host,5
Bacillus or coccobacillus,True,d__Bacteria,p__Campylobacterota,Neither,13
Bacillus or coccobacillus,True,d__Bacteria,p__Chloroflexota,Neither,1
Bacillus or coccobacillus,True,d__Bacteria,p__Cyanobacteria,Host,13
Bacillus or coccobacillus,True,d__Bacteria,p__Cyanobacteria,Neither,2
Bacillus or coccobacillus,False,d__Bacteria,p__Deferribacterota,Neither,1
Bacillus or coccobacillus,True,d__Bacteria,p__Desulfobacterota_A,Host,5
Bacillus or coccobacillus,True,d__Bacteria,p__Desulfobacterota_A,Neither,3
Bacillus or coccobacillus,False,d__Bacteria,p__Elusimicrobiota,Host,2
Bacillus or coccobacillus,True,d__Bacteria,p__Elusimicrobiota,Host,2
Bacillus or coccobacillus,True,d__Bacteria,p__Elusimicrobiota,Neither,2
Bacillus or coccobacillus,True,d__Bacteria,p__Eremiobacterota,Neither,1
Bacillus or coccobacillus,True,d__Bacteria,p__Fibrobacterota,Host,4
Bacillus or coccobacillus,False,d__Bacteria,p__Firmicutes,Host,79
Bacillus or coccobacillus,False,d__Bacteria,p__Firmicutes,Neither,69
Bacillus or coccobacillus,True,d__Bacteria,p__Firmicutes,Host,25
Bacillus or coccobacillus,True,d__Bacteria,p__Firmicutes,Neither,15
Bacillus or coccobacillus,False,d__Bacteria,p__Firmicutes_A,Host,82
Bacillus or coccobacillus,False,d__Bacteria,p__Firmicutes_A,Neither,46
Bacillus or coccobacillus,True,d__Bacteria,p__Firmicutes_A,Host,356
Bacillus or coccobacillus,True,d__Bacteria,p__Firmicutes_A,Neither,127
Bacillus or coccobacillus,True,d__Bacteria,p__Firmicutes_B,Host,2
Bacillus or coccobacillus,True,d__Bacteria,p__Firmicutes_B,Neither,2
Bacillus or coccobacillus,False,d__Bacteria,p__Firmicutes_C,Host,8
Bacillus or coccobacillus,False,d__Bacteria,p__Firmicutes_C,Neither,4
Bacillus or coccobacillus,True,d__Bacteria,p__Firmicutes_C,Host,8
Bacillus or coccobacillus,True,d__Bacteria,p__Firmicutes_C,Neither,9
Bacillus or coccobacillus,True,d__Bacteria,p__Fusobacteriota,Host,2
Bacillus or coccobacillus,True,d__Bacteria,p__Fusobacteriota,Neither,15
Bacillus or coccobacillus,True,d__Bacteria,p__Myxococcota,Host,2
Bacillus or coccobacillus,False,d__Bacteria,p__Patescibacteria,Host,1
Bacillus or coccobacillus,False,d__Bacteria,p__Patescibacteria,Neither,3
Bacillus or coccobacillus,True,d__Bacteria,p__Planctomycetota,Host,1
Bacillus or coccobacillus,True,d__Bacteria,p__Planctomycetota,Neither,1
Bacillus or coccobacillus,False,d__Bacteria,p__Proteobacteria,Host,1
Bacillus or coccobacillus,False,d__Bacteria,p__Proteobacteria,Neither,7
Bacillus or coccobacillus,True,d__Bacteria,p__Proteobacteria,Environment,8
Bacillus or coccobacillus,True,d__Bacteria,p__Proteobacteria,Host,23
